team,split_value,matches_played,possession_pct,touches_against,touches_for,touches_opp_box_against,touches_opp_box_for,passes_attempted_against,passes_attempted_for,passes_completed_against,passes_completed_for,open_play_passes_against,open_play_passes_for,passes_forward_against,passes_forward_for,passes_backward_against,passes_backward_for,passes_sideways_against,passes_sideways_for,passes_opp_half_against,passes_opp_half_for,passes_own_half_against,passes_own_half_for,crosses_attempted_against,crosses_attempted_for,crosses_completed_against,crosses_completed_for,long_passes_attempted_against,long_passes_attempted_for,long_passes_completed_against,long_passes_completed_for,through_balls_against,through_balls_for,corners_against,corners_for,chances_created_against,chances_created_for,assists_against,assists_for,shots_against,shots_for,shots_on_target_against,shots_on_target_for,shots_off_target_against,shots_off_target_for,shots_blocked_against,shots_blocked_for,shots_in_box_against,shots_in_box_for,shots_outside_box_against,shots_outside_box_for,shots_on_target_in_box_against,shots_on_target_in_box_for,shots_on_target_outside_box_against,shots_on_target_outside_box_for,goals_against,goals_for,goals_in_box_against,goals_in_box_for,goals_outside_box_against,goals_outside_box_for,goals_from_shots_against,goals_from_shots_for,own_goals_against,own_goals_for,own_goals_in_box_against,own_goals_in_box_for,own_goals_outside_box_against,own_goals_outside_box_for,take_ons_against,take_ons_for,take_ons_won_against,take_ons_won_for,aerials_against,aerials_for,aerials_won_against,aerials_won_for,ground_duels_against,ground_duels_for,ground_duels_won_against,ground_duels_won_for,duels_contested_against,duels_contested_for,duels_won_against,duels_won_for,tackles_against,tackles_for,interceptions_against,interceptions_for,clearances_against,clearances_for,ball_recoveries_against,ball_recoveries_for,blocked_passes_against,blocked_passes_for,fouls_committed_against,fouls_committed_for,fouls_won_against,fouls_won_for,possession_lost_against,possession_lost_for,pass_accuracy_pct_for,cross_accuracy_pct_for,long_pass_accuracy_pct_for,shooting_accuracy_pct_for,conversion_pct_for,take_on_success_pct_for,aerial_success_pct_for,ground_duel_success_pct_for,duel_success_pct_for,pass_accuracy_pct_against,cross_accuracy_pct_against,long_pass_accuracy_pct_against,shooting_accuracy_pct_against,conversion_pct_against,take_on_success_pct_against,aerial_success_pct_against,ground_duel_success_pct_against,duel_success_pct_against,rank_possession_pct,rank_touches_against,rank_touches_for,rank_touches_opp_box_against,rank_touches_opp_box_for,rank_passes_attempted_against,rank_passes_attempted_for,rank_passes_completed_against,rank_passes_completed_for,rank_open_play_passes_against,rank_open_play_passes_for,rank_passes_forward_against,rank_passes_forward_for,rank_passes_backward_against,rank_passes_backward_for,rank_passes_sideways_against,rank_passes_sideways_for,rank_passes_opp_half_against,rank_passes_opp_half_for,rank_passes_own_half_against,rank_passes_own_half_for,rank_crosses_attempted_against,rank_crosses_attempted_for,rank_crosses_completed_against,rank_crosses_completed_for,rank_long_passes_attempted_against,rank_long_passes_attempted_for,rank_long_passes_completed_against,rank_long_passes_completed_for,rank_through_balls_against,rank_through_balls_for,rank_corners_against,rank_corners_for,rank_chances_created_against,rank_chances_created_for,rank_assists_against,rank_assists_for,rank_shots_against,rank_shots_for,rank_shots_on_target_against,rank_shots_on_target_for,rank_shots_off_target_against,rank_shots_off_target_for,rank_shots_blocked_against,rank_shots_blocked_for,rank_shots_in_box_against,rank_shots_in_box_for,rank_shots_outside_box_against,rank_shots_outside_box_for,rank_shots_on_target_in_box_against,rank_shots_on_target_in_box_for,rank_shots_on_target_outside_box_against,rank_shots_on_target_outside_box_for,rank_goals_against,rank_goals_for,rank_goals_in_box_against,rank_goals_in_box_for,rank_goals_outside_box_against,rank_goals_outside_box_for,rank_goals_from_shots_against,rank_goals_from_shots_for,rank_own_goals_against,rank_own_goals_for,rank_own_goals_in_box_against,rank_own_goals_in_box_for,rank_own_goals_outside_box_against,rank_own_goals_outside_box_for,rank_take_ons_against,rank_take_ons_for,rank_take_ons_won_against,rank_take_ons_won_for,rank_aerials_against,rank_aerials_for,rank_aerials_won_against,rank_aerials_won_for,rank_ground_duels_against,rank_ground_duels_for,rank_ground_duels_won_against,rank_ground_duels_won_for,rank_duels_contested_against,rank_duels_contested_for,rank_duels_won_against,rank_duels_won_for,rank_tackles_against,rank_tackles_for,rank_interceptions_against,rank_interceptions_for,rank_clearances_against,rank_clearances_for,rank_ball_recoveries_against,rank_ball_recoveries_for,rank_blocked_passes_against,rank_blocked_passes_for,rank_fouls_committed_against,rank_fouls_committed_for,rank_fouls_won_against,rank_fouls_won_for,rank_possession_lost_against,rank_possession_lost_for,rank_pass_accuracy_pct_for,rank_cross_accuracy_pct_for,rank_long_pass_accuracy_pct_for,rank_shooting_accuracy_pct_for,rank_conversion_pct_for,rank_take_on_success_pct_for,rank_aerial_success_pct_for,rank_ground_duel_success_pct_for,rank_duel_success_pct_for,rank_pass_accuracy_pct_against,rank_cross_accuracy_pct_against,rank_long_pass_accuracy_pct_against,rank_shooting_accuracy_pct_against,rank_conversion_pct_against,rank_take_on_success_pct_against,rank_aerial_success_pct_against,rank_ground_duel_success_pct_against,rank_duel_success_pct_against
Hull,46-60,5,36.02,634,357,28,12,515,242,438,172,476,218,208,123,116,48,191,71,214,60,224,112,15,8,3,1,49,46,25,18,3,0,6,0,8,6,6,4,10,9,3,3,4,6,3,0,6,4,4,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,8,6,23,23,14,9,44,39,15,14,67,62,29,23,8,16,4,6,14,28,39,29,4,6,2,13,13,2,116,90,71.07,12.5,39.13,33.33,0.0,60.0,39.13,35.9,37.1,85.05,20.0,51.02,30.0,0.0,33.33,60.87,34.09,43.28,20.0,1.0,20.0,4.0,19.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,19.0,2.0,20.0,2.0,20.0,3.0,20.0,1.0,19.0,3.0,15.0,2.0,13.0,9.0,12.0,4.0,15.0,2.0,13.0,3.0,18.0,7.0,16.0,6.0,12.0,10.0,14.0,7.0,11.0,10.0,4.0,8.0,18.0,11.0,16.0,7.0,3.0,16.0,13.0,3.0,3.0,18.0,16.0,16.0,15.0,7.0,7.0,18.0,16.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,16.0,7.0,9.0,6.0,6.0,6.0,12.0,6.0,12.0,8.0,7.0,5.0,9.0,4.0,11.0,18.0,2.0,14.0,11.0,17.0,3.0,1.0,12.0,14.0,9.0,20.0,1.0,1.0,20.0,1.0,12.0,20.0,12.0,14.0,9.0,16.0,2.0,18.0,9.0,13.0,3.0,9.0,7.0,9.0,18.0,14.0,3.0,10.0,6.0
Ipswich,46-60,5,44.8,541,439,27,19,421,315,351,247,381,285,178,154,118,72,125,89,152,112,199,135,8,8,2,2,49,45,23,20,1,0,4,5,5,7,3,3,12,9,3,4,2,5,7,0,10,4,2,5,2,1,1,3,2,0,2,0,0,0,1,0,0,1,0,1,0,0,10,22,4,9,17,17,11,6,45,46,14,17,62,63,25,23,16,14,10,5,16,17,31,34,8,4,6,8,8,6,103,102,78.41,25.0,44.44,44.44,0.0,40.91,35.29,36.96,36.51,83.37,25.0,46.94,25.0,8.33,40.0,64.71,31.11,40.32,15.0,7.0,15.0,6.0,12.0,7.0,15.0,7.0,14.0,7.0,14.0,6.0,14.0,1.0,14.0,11.0,18.0,11.0,11.0,2.0,16.0,14.0,15.0,8.0,7.0,9.0,14.0,9.0,10.0,6.0,13.0,6.0,6.0,17.0,13.0,14.0,17.0,8.0,14.0,7.0,6.0,17.0,7.0,1.0,18.0,5.0,16.0,17.0,3.0,8.0,13.0,7.0,1.0,4.0,16.0,2.0,15.0,7.0,7.0,9.0,16.0,3.0,1.0,3.0,1.0,1.0,1.0,17.0,2.0,14.0,5.0,14.0,14.0,9.0,19.0,5.0,4.0,10.0,5.0,8.0,5.0,7.0,11.0,4.0,6.0,3.0,14.0,14.0,13.0,11.0,5.0,5.0,13.0,15.0,8.0,8.0,15.0,6.0,5.0,16.0,4.0,11.0,3.0,16.0,11.0,20.0,7.0,14.0,5.0,5.0,11.0,15.0,14.0,12.0,1.0,15.0,12.0
Leeds,46-60,5,51.49,471,500,20,17,352,353,271,277,316,319,152,176,65,82,135,95,159,75,112,202,16,10,1,1,51,49,19,15,0,0,6,2,9,5,5,4,13,10,3,4,5,4,5,2,6,7,7,3,0,3,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16,18,3,10,34,34,17,17,40,40,8,20,74,74,25,37,9,16,3,8,31,27,33,32,6,6,9,4,4,9,108,99,78.47,10.0,30.61,40.0,10.0,55.56,50.0,50.0,50.0,76.99,6.25,37.25,23.08,0.0,18.75,50.0,20.0,33.78,9.0,13.0,8.0,9.0,13.0,13.0,10.0,14.0,12.0,13.0,11.0,14.0,5.0,16.0,11.0,7.0,11.0,8.0,18.0,18.0,1.0,1.0,10.0,12.0,13.0,5.0,9.0,14.0,18.0,12.0,13.0,3.0,15.0,5.0,18.0,7.0,12.0,7.0,11.0,7.0,6.0,6.0,12.0,6.0,12.0,11.0,11.0,1.0,14.0,18.0,6.0,1.0,8.0,18.0,8.0,16.0,8.0,7.0,7.0,18.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,15.0,3.0,3.0,3.0,2.0,3.0,12.0,10.0,20.0,1.0,2.0,2.0,7.0,1.0,15.0,2.0,17.0,5.0,1.0,4.0,5.0,7.0,8.0,9.0,6.0,18.0,18.0,6.0,4.0,7.0,15.0,15.0,20.0,5.0,11.0,3.0,9.0,1.0,2.0,17.0,18.0,17.0,16.0,18.0,20.0,11.0,19.0,19.0
Liverpool,46-60,5,61.22,406,641,15,20,256,497,177,416,218,456,141,219,52,112,63,166,54,226,123,190,7,17,1,2,50,54,19,35,0,0,0,3,7,11,2,6,9,18,2,6,5,2,2,10,5,13,4,5,0,5,2,1,1,3,0,2,1,1,1,3,0,0,0,0,0,0,12,21,3,5,15,15,6,9,48,48,16,11,63,63,22,20,28,9,10,8,28,15,35,39,10,6,9,7,7,9,107,130,83.7,11.76,64.81,33.33,16.67,23.81,60.0,22.92,31.75,69.14,14.29,38.0,22.22,11.11,25.0,40.0,33.33,34.92,2.0,18.0,1.0,18.0,11.0,19.0,2.0,19.0,2.0,19.0,3.0,16.0,1.0,19.0,3.0,20.0,4.0,20.0,4.0,17.0,3.0,16.0,2.0,12.0,7.0,7.0,5.0,14.0,1.0,12.0,13.0,20.0,12.0,9.0,1.0,18.0,6.0,13.0,1.0,16.0,1.0,6.0,17.0,12.0,1.0,17.0,1.0,7.0,3.0,18.0,1.0,3.0,8.0,11.0,4.0,16.0,4.0,1.0,1.0,9.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,14.0,4.0,15.0,12.0,18.0,18.0,18.0,12.0,2.0,2.0,6.0,14.0,7.0,5.0,14.0,17.0,1.0,16.0,3.0,5.0,4.0,15.0,3.0,2.0,4.0,9.0,6.0,14.0,14.0,6.0,5.0,1.0,6.0,13.0,1.0,9.0,5.0,18.0,4.0,20.0,18.0,20.0,13.0,16.0,17.0,12.0,18.0,17.0,11.0,17.0
Man City,46-60,5,59.66,409,605,14,25,296,502,242,434,269,463,133,175,74,127,89,200,104,239,138,195,6,12,0,3,35,46,17,18,1,4,2,6,7,7,4,4,10,12,1,5,7,4,2,3,5,8,5,4,1,3,0,2,2,4,2,3,0,1,1,4,0,1,0,1,0,0,13,19,8,9,20,20,10,10,41,40,20,13,61,60,30,23,16,6,9,7,18,9,21,27,0,2,12,8,8,12,72,93,86.45,25.0,39.13,41.67,33.33,47.37,50.0,32.5,38.33,81.76,0.0,48.57,10.0,10.0,61.54,50.0,48.78,49.18,3.0,17.0,2.0,19.0,8.0,16.0,1.0,16.0,1.0,16.0,1.0,17.0,6.0,14.0,2.0,17.0,2.0,16.0,3.0,13.0,2.0,17.0,5.0,19.0,3.0,20.0,12.0,16.0,15.0,6.0,1.0,15.0,2.0,9.0,13.0,12.0,12.0,10.0,7.0,20.0,3.0,2.0,12.0,12.0,10.0,17.0,7.0,4.0,8.0,16.0,6.0,15.0,3.0,4.0,1.0,2.0,1.0,7.0,1.0,9.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,12.0,7.0,7.0,5.0,9.0,9.0,11.0,10.0,10.0,10.0,1.0,10.0,9.0,11.0,3.0,11.0,4.0,20.0,6.0,9.0,11.0,20.0,19.0,14.0,20.0,20.0,2.0,8.0,8.0,2.0,19.0,10.0,2.0,4.0,14.0,4.0,2.0,6.0,9.0,13.0,11.0,10.0,19.0,9.0,20.0,13.0,1.0,11.0,1.0,1.0
Man Utd,46-60,5,53.37,470,538,16,37,342,427,275,352,308,395,152,187,78,94,112,146,121,179,154,173,11,12,1,3,53,42,17,20,0,2,4,5,5,9,3,5,8,18,3,4,1,7,4,7,6,11,2,7,2,1,1,3,1,3,1,2,0,1,1,2,1,0,1,0,0,0,21,13,12,6,16,16,4,12,43,42,18,18,59,58,22,30,9,14,10,5,28,13,28,35,6,4,10,8,8,10,90,93,82.44,25.0,47.62,22.22,11.11,46.15,75.0,42.86,51.72,80.41,9.09,32.08,37.5,12.5,57.14,25.0,41.86,37.29,7.0,14.0,6.0,15.0,1.0,15.0,6.0,13.0,6.0,15.0,6.0,14.0,4.0,12.0,7.0,12.0,7.0,15.0,7.0,11.0,5.0,7.0,5.0,12.0,3.0,2.0,15.0,16.0,10.0,12.0,3.0,6.0,6.0,17.0,5.0,14.0,10.0,16.0,1.0,7.0,6.0,19.0,3.0,7.0,3.0,11.0,4.0,17.0,1.0,8.0,13.0,7.0,1.0,11.0,4.0,9.0,4.0,7.0,1.0,9.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,12.0,1.0,9.0,15.0,15.0,19.0,7.0,7.0,8.0,2.0,4.0,11.0,12.0,14.0,3.0,15.0,6.0,3.0,14.0,4.0,19.0,14.0,3.0,8.0,13.0,4.0,8.0,8.0,4.0,13.0,10.0,9.0,4.0,9.0,15.0,7.0,8.0,1.0,3.0,1.0,15.0,16.0,19.0,6.0,10.0,2.0,20.0,3.0,14.0
Newcastle,46-60,5,51.88,462,498,16,15,355,380,295,325,324,337,159,155,89,80,107,145,123,162,172,163,11,9,1,2,45,40,24,15,1,2,1,5,7,8,4,4,16,10,3,3,7,5,6,2,9,4,7,6,2,1,1,2,2,1,1,0,1,1,2,1,0,0,0,0,0,0,9,16,5,8,19,19,11,8,35,39,10,14,54,58,21,22,10,11,8,3,13,19,32,28,2,7,10,9,9,10,83,83,85.53,22.22,37.5,30.0,10.0,50.0,42.11,35.9,37.93,83.1,9.09,53.33,18.75,12.5,55.56,57.89,28.57,38.89,8.0,15.0,10.0,15.0,15.0,11.0,8.0,11.0,8.0,11.0,9.0,12.0,13.0,10.0,12.0,14.0,8.0,13.0,8.0,5.0,7.0,7.0,12.0,12.0,7.0,14.0,16.0,7.0,18.0,6.0,3.0,18.0,6.0,9.0,9.0,12.0,12.0,2.0,11.0,7.0,11.0,2.0,7.0,3.0,12.0,7.0,16.0,1.0,2.0,8.0,13.0,7.0,3.0,4.0,8.0,9.0,15.0,1.0,1.0,4.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,19.0,9.0,11.0,7.0,12.0,12.0,9.0,14.0,15.0,12.0,14.0,7.0,18.0,12.0,16.0,15.0,12.0,14.0,7.0,17.0,18.0,9.0,7.0,13.0,16.0,5.0,4.0,5.0,5.0,4.0,18.0,17.0,3.0,8.0,16.0,13.0,11.0,4.0,16.0,9.0,12.0,6.0,16.0,4.0,18.0,10.0,3.0,5.0,18.0,13.0
Nottingham Forest,46-60,5,48.11,493,457,30,27,346,319,264,240,310,282,170,159,67,65,109,95,126,109,138,131,13,10,3,4,46,67,24,33,0,1,7,3,10,10,7,7,15,10,4,0,5,8,6,2,11,8,4,2,3,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,25,12,12,4,32,32,17,15,48,46,17,12,80,78,34,27,11,17,6,6,24,25,33,30,12,11,8,9,9,8,115,109,75.24,40.0,49.25,0.0,0.0,33.33,46.88,26.09,34.62,76.3,23.08,52.17,26.67,13.33,48.0,53.12,35.42,42.5,12.0,10.0,12.0,3.0,7.0,14.0,14.0,15.0,16.0,14.0,16.0,8.0,10.0,15.0,15.0,13.0,11.0,12.0,14.0,13.0,17.0,4.0,10.0,2.0,2.0,13.0,1.0,7.0,2.0,12.0,6.0,2.0,12.0,3.0,3.0,3.0,2.0,4.0,11.0,4.0,20.0,6.0,2.0,3.0,12.0,2.0,7.0,7.0,16.0,4.0,20.0,7.0,14.0,4.0,16.0,2.0,15.0,7.0,7.0,4.0,16.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,14.0,1.0,14.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,13.0,1.0,1.0,1.0,6.0,8.0,1.0,10.0,11.0,6.0,6.0,5.0,10.0,1.0,1.0,8.0,5.0,5.0,8.0,2.0,3.0,19.0,2.0,7.0,20.0,16.0,14.0,11.0,17.0,15.0,18.0,7.0,5.0,13.0,9.0,6.0,10.0,8.0,7.0
Sunderland,46-60,5,48.55,496,468,16,17,392,349,323,288,358,321,156,152,103,105,133,92,161,140,162,148,12,5,3,1,41,51,17,24,2,1,3,0,7,6,5,4,9,9,4,2,4,3,1,4,6,7,3,2,3,2,1,0,3,1,2,1,1,0,3,1,0,0,0,0,0,0,20,10,9,3,22,22,12,10,37,36,12,14,59,58,24,24,8,15,3,5,16,19,27,23,2,8,8,5,5,8,102,88,82.52,20.0,47.06,22.22,11.11,30.0,45.45,38.89,41.38,82.4,25.0,41.46,44.44,33.33,45.0,54.55,32.43,40.68,10.0,9.0,11.0,15.0,13.0,9.0,12.0,9.0,10.0,9.0,10.0,13.0,16.0,5.0,4.0,8.0,15.0,7.0,10.0,8.0,12.0,6.0,18.0,2.0,13.0,17.0,7.0,16.0,8.0,4.0,6.0,11.0,18.0,9.0,16.0,7.0,12.0,13.0,14.0,4.0,16.0,10.0,14.0,18.0,6.0,11.0,11.0,11.0,16.0,4.0,9.0,7.0,14.0,1.0,8.0,2.0,8.0,1.0,7.0,1.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,16.0,4.0,17.0,8.0,8.0,7.0,10.0,14.0,15.0,13.0,7.0,11.0,12.0,12.0,8.0,18.0,5.0,17.0,14.0,14.0,9.0,15.0,17.0,16.0,2.0,8.0,16.0,16.0,8.0,7.0,14.0,8.0,10.0,10.0,15.0,7.0,16.0,14.0,5.0,7.0,8.0,5.0,14.0,3.0,1.0,8.0,7.0,13.0,10.0
Tottenham,46-60,5,58.72,419,596,22,29,267,466,215,397,233,438,114,168,59,91,94,207,80,246,135,151,6,16,2,7,47,32,21,19,4,1,4,6,9,7,5,5,15,11,4,4,5,3,6,4,11,6,4,5,4,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,18,21,10,13,18,18,7,11,55,55,18,19,73,73,25,30,16,12,12,2,23,18,29,30,11,6,6,10,10,6,85,103,85.19,43.75,59.38,36.36,0.0,61.9,61.11,34.55,41.1,80.52,33.33,44.68,26.67,6.67,55.56,38.89,32.73,34.25,4.0,16.0,4.0,8.0,3.0,17.0,5.0,17.0,5.0,18.0,5.0,20.0,7.0,17.0,8.0,16.0,1.0,18.0,2.0,16.0,11.0,17.0,3.0,8.0,1.0,12.0,19.0,10.0,13.0,1.0,6.0,6.0,2.0,5.0,13.0,7.0,10.0,4.0,9.0,4.0,6.0,6.0,14.0,3.0,6.0,2.0,13.0,7.0,3.0,3.0,9.0,15.0,3.0,11.0,16.0,9.0,15.0,7.0,7.0,9.0,16.0,3.0,3.0,3.0,3.0,1.0,1.0,7.0,4.0,3.0,1.0,13.0,13.0,17.0,8.0,1.0,1.0,2.0,3.0,3.0,3.0,7.0,3.0,4.0,12.0,2.0,19.0,8.0,11.0,13.0,10.0,2.0,9.0,15.0,3.0,3.0,15.0,16.0,4.0,5.0,1.0,3.0,6.0,16.0,1.0,3.0,11.0,8.0,14.0,2.0,12.0,13.0,16.0,3.0,18.0,12.0,18.0
Arsenal,61-75,5,55.9,411,521,20,27,299,399,229,351,274,370,136,156,63,88,100,155,119,184,110,167,9,5,0,0,45,33,18,14,2,2,2,8,4,12,3,8,11,13,1,4,5,4,5,5,5,10,6,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,4,23,23,9,14,31,30,11,7,54,53,20,21,10,10,7,8,19,23,31,29,1,5,7,8,8,7,90,74,87.97,0.0,42.42,30.77,0.0,50.0,60.87,23.33,39.62,76.59,0.0,40.0,9.09,0.0,38.46,39.13,35.48,37.04,6.0,15.0,7.0,8.0,2.0,15.0,7.0,15.0,5.0,14.0,8.0,17.0,10.0,14.0,7.0,14.0,3.0,13.0,5.0,17.0,5.0,11.0,16.0,16.0,18.0,6.0,19.0,11.0,15.0,4.0,4.0,13.0,1.0,17.0,1.0,17.0,1.0,5.0,5.0,17.0,5.0,6.0,10.0,2.0,3.0,13.0,3.0,4.0,12.0,12.0,2.0,14.0,6.0,13.0,11.0,12.0,11.0,2.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,17.0,10.0,13.0,7.0,7.0,14.0,4.0,15.0,17.0,11.0,18.0,10.0,11.0,14.0,14.0,12.0,11.0,9.0,5.0,13.0,7.0,8.0,12.0,19.0,8.0,13.0,11.0,11.0,13.0,11.0,20.0,2.0,18.0,11.0,10.0,10.0,5.0,5.0,16.0,11.0,16.0,16.0,14.0,18.0,11.0,11.0,16.0,7.0,15.0
Aston Villa,61-75,5,45.84,521,441,16,16,398,335,346,279,373,299,161,148,90,70,147,117,186,147,160,132,12,3,0,1,34,27,20,10,1,1,4,2,9,6,4,6,10,8,1,3,7,2,2,3,4,6,6,2,1,3,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,15,14,5,2,16,16,12,4,39,39,13,8,55,55,25,12,17,12,11,5,18,11,33,22,4,4,9,9,9,9,77,86,83.28,33.33,37.04,37.5,25.0,14.29,25.0,20.51,21.82,86.93,0.0,58.82,10.0,0.0,33.33,75.0,33.33,45.45,13.0,7.0,12.0,14.0,16.0,7.0,12.0,5.0,10.0,7.0,11.0,10.0,14.0,7.0,13.0,4.0,9.0,4.0,10.0,6.0,12.0,5.0,19.0,16.0,12.0,19.0,20.0,7.0,20.0,7.0,7.0,5.0,13.0,5.0,14.0,10.0,7.0,11.0,13.0,17.0,8.0,3.0,16.0,14.0,8.0,17.0,9.0,4.0,17.0,12.0,2.0,14.0,15.0,13.0,2.0,12.0,2.0,2.0,2.0,11.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,11.0,10.0,19.0,16.0,16.0,6.0,20.0,5.0,5.0,8.0,15.0,8.0,8.0,9.0,20.0,2.0,9.0,1.0,12.0,15.0,20.0,6.0,19.0,12.0,13.0,7.0,6.0,6.0,7.0,19.0,13.0,8.0,3.0,14.0,5.0,1.0,20.0,20.0,18.0,20.0,1.0,16.0,2.0,17.0,11.0,14.0,1.0,9.0,5.0
Bournemouth,61-75,5,49.46,518,507,19,21,397,382,316,307,370,347,171,179,77,97,149,106,142,147,174,160,6,12,0,4,45,58,15,36,4,0,4,2,4,8,3,5,5,10,2,5,1,3,2,2,4,5,1,5,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,6,4,31,31,14,17,28,32,13,6,59,63,27,23,10,7,8,7,23,24,38,34,7,7,9,9,9,9,105,107,80.37,33.33,62.07,50.0,0.0,28.57,54.84,18.75,36.51,79.6,0.0,33.33,40.0,0.0,54.55,45.16,46.43,45.76,11.0,8.0,9.0,12.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,6.0,10.0,4.0,3.0,12.0,10.0,10.0,5.0,7.0,16.0,7.0,16.0,1.0,6.0,1.0,17.0,1.0,1.0,15.0,5.0,13.0,17.0,6.0,17.0,8.0,20.0,10.0,12.0,3.0,20.0,13.0,14.0,13.0,17.0,11.0,19.0,6.0,6.0,6.0,14.0,2.0,13.0,11.0,12.0,11.0,2.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,14.0,11.0,5.0,13.0,3.0,3.0,3.0,2.0,18.0,12.0,8.0,20.0,6.0,6.0,4.0,11.0,12.0,17.0,5.0,8.0,6.0,4.0,2.0,4.0,5.0,1.0,7.0,6.0,6.0,7.0,3.0,2.0,11.0,3.0,1.0,1.0,10.0,17.0,6.0,19.0,16.0,10.0,16.0,19.0,5.0,11.0,5.0,15.0,4.0,4.0
Brentford,61-75,5,41.3,567,399,22,18,429,239,341,165,395,211,198,132,92,30,139,77,153,61,188,104,17,6,3,3,56,47,28,17,0,2,5,2,9,6,5,4,16,8,6,1,5,3,5,4,6,4,10,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,8,8,33,33,17,16,52,51,18,15,85,84,35,31,19,14,7,10,16,38,43,39,3,5,7,14,14,7,121,111,69.04,50.0,36.17,12.5,0.0,47.06,48.48,29.41,36.9,79.49,17.65,50.0,37.5,0.0,47.06,51.52,34.62,41.18,18.0,2.0,16.0,6.0,14.0,3.0,19.0,7.0,19.0,4.0,18.0,2.0,16.0,6.0,20.0,5.0,17.0,8.0,18.0,2.0,19.0,3.0,14.0,4.0,2.0,2.0,6.0,1.0,10.0,16.0,4.0,2.0,13.0,5.0,14.0,6.0,11.0,3.0,13.0,1.0,16.0,6.0,13.0,2.0,5.0,9.0,14.0,2.0,7.0,6.0,14.0,1.0,15.0,13.0,11.0,12.0,11.0,2.0,2.0,11.0,10.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,7.0,9.0,2.0,17.0,1.0,1.0,1.0,15.0,8.0,13.0,1.0,1.0,13.0,1.0,1.0,20.0,1.0,16.0,18.0,10.0,9.0,10.0,15.0,15.0,11.0,13.0,6.0,7.0,11.0,8.0,11.0,8.0,9.0
Brighton,61-75,5,59.25,359,522,20,23,229,408,178,340,197,382,107,163,51,88,71,157,71,161,107,179,2,17,0,3,36,39,19,19,0,1,4,4,7,8,6,4,10,16,3,6,4,9,3,1,8,8,2,8,1,5,2,1,1,3,0,3,1,0,1,2,1,0,1,0,0,0,11,15,4,8,29,29,17,12,36,36,9,13,65,65,26,25,11,12,4,5,25,13,14,28,5,4,8,8,8,8,85,90,83.33,17.65,48.72,37.5,12.5,53.33,41.38,36.11,38.46,77.73,0.0,52.78,30.0,10.0,36.36,58.62,25.0,40.0,3.0,18.0,6.0,8.0,5.0,20.0,6.0,20.0,7.0,20.0,6.0,20.0,7.0,19.0,7.0,20.0,2.0,19.0,8.0,18.0,3.0,19.0,2.0,16.0,2.0,17.0,13.0,8.0,8.0,16.0,7.0,5.0,5.0,12.0,6.0,4.0,11.0,11.0,3.0,9.0,2.0,10.0,2.0,10.0,17.0,4.0,5.0,15.0,2.0,12.0,1.0,4.0,6.0,3.0,1.0,12.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,14.0,9.0,14.0,3.0,4.0,4.0,1.0,7.0,8.0,9.0,14.0,8.0,5.0,5.0,6.0,7.0,10.0,9.0,17.0,12.0,4.0,18.0,20.0,14.0,7.0,13.0,11.0,11.0,11.0,11.0,12.0,10.0,7.0,9.0,7.0,5.0,5.0,3.0,16.0,11.0,13.0,15.0,16.0,4.0,9.0,5.0,12.0,5.0,17.0,11.0
